updates,address plainKey,account plainKeys,PatriciaContext.Branch(),PatriciaContext.Account(),PatriciaContext.Storage(),PatriciaContext.PutBranch(),L0 - Load Account/Storage,L1 - Load Account/Storage,L2 - Load Account/Storage,L3 - Load Account/Storage,L4 - Load Account/Storage,unfold/fold calls,total unfolding time (ms),total folding time (ms),total processing time (ms)
5,5,0,1,5,0,2,5/0,0/0,0/0,0/0,0/0,3,0,0,0
5,5,0,2,5,0,1,10/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,1,15/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,2,20/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,1,5,0,1,25/0,0/0,0/0,0/0,0/0,6,0,0,0
5,5,0,1,5,0,1,31/0,0/0,0/0,0/0,0/0,6,0,0,0
5,5,0,1,5,0,1,37/0,0/0,0/0,0/0,0/0,6,0,0,0
5,5,0,1,5,0,2,43/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,1,49/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,1,55/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,2,61/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,67/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,2,5,0,2,73/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,80/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,4,5,0,4,87/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,94/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,4,101/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,2,5,0,3,106/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,111/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,116/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,121/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,126/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,131/0,0/0,0/0,0/0,0/0,8,0,0,0
